Rk,Player,Age,Tm,Pos,GP,G,A,PTS,GC,plusMinus,PIM,EV,PP,SH,GW,S,S%,TOI,ATOI
1,Evgeni Malkin,25,PIT,C,75,50,59,109,43,18,70,38,12,0,9,339,14.7,1577,21:01
2,Steven Stamkos,21,TBL,C,82,60,37,97,43,7,66,48,12,0,12,303,19.8,1806,22:01
3,Claude Giroux,24,PHI,RW,77,28,65,93,32,6,29,22,6,0,5,242,11.6,1659,21:33
4,Jason Spezza,28,OTT,C,80,34,50,84,32,11,36,24,10,0,2,232,14.7,1594,19:55
5,Ilya Kovalchuk,28,NJD,LW,77,37,46,83,32,-9,33,24,10,3,5,310,11.9,1882,24:26:00
6,Phil Kessel,24,TOR,C,82,37,45,82,32,-10,20,27,10,0,6,295,12.5,1645,20:03
7,James Neal,24,PIT,LW,80,40,41,81,32,6,87,22,18,0,4,329,12.2,1531,19:08
8,Henrik Sedin,31,VAN,C,82,14,67,81,25,23,52,6,8,0,6,113,12.4,1565,19:05
9,John Tavares,21,NYI,C,82,31,50,81,30,-6,26,24,7,0,8,286,10.8,1687,20:34
10,Patrik Elias,35,NJD,LW,81,26,52,78,28,-8,16,16,8,2,3,164,15.9,1608,19:51
11,Erik Karlsson,21,OTT,D,81,19,59,78,26,16,42,16,3,0,5,261,7.3,2051,25:19:00
12,Marian Hossa,33,CHI,RW,81,29,48,77,28,18,20,18,9,2,4,248,11.7,1617,19:58
13,Joe Thornton,32,SJS,C,82,18,59,77,25,17,31,14,4,0,2,156,11.5,1678,20:28
14,Ray Whitney,39,PHX,LW,82,24,53,77,27,26,28,16,8,0,1,185,13,1529,18:39
15,Jordan Eberle,21,EDM,C,78,34,42,76,29,4,10,24,10,0,4,180,18.9,1373,17:36
16,Marian Gaborik,29,NYR,RW,82,41,35,76,31,15,34,31,10,0,7,276,14.9,1600,19:31
17,Anze Kopitar,24,LAK,C,82,25,51,76,27,12,20,15,8,2,2,230,10.9,1750,21:20
18,Martin St. Louis,36,TBL,RW,77,25,49,74,27,-3,16,21,4,0,3,185,13.5,1743,22:38
19,Jason Pominville,29,BUF,RW,82,30,43,73,28,-7,12,20,8,2,5,235,12.8,1614,19:41
20,Loui Eriksson,26,DAL,LW,82,26,45,71,26,18,12,19,5,2,3,187,13.9,1620,19:46
21,Eric Staal,27,CAR,C,82,24,46,70,26,-20,48,14,7,3,3,262,9.2,1767,21:33
22,Matt Moulson,28,NYI,LW,82,36,33,69,28,1,6,22,14,0,5,219,16.4,1583,19:18
23,Zach Parise,27,NJD,C,82,31,38,69,27,-5,32,21,7,3,3,293,10.6,1762,21:29
24,Patrick Sharp,30,CHI,C,74,33,36,69,27,28,38,25,7,1,8,282,11.7,1473,19:54
25,Henrik Zetterberg,31,DET,LW,82,22,47,69,24,14,47,19,3,0,4,267,8.2,1627,19:50
26,Pavel Datsyuk,33,DET,C,70,19,48,67,23,21,14,15,4,0,5,164,11.6,1370,19:34
27,Scott Hartnell,29,PHI,RW,82,37,30,67,28,19,136,21,16,0,6,232,15.9,1458,17:47
28,Jarome Iginla,34,CGY,RW,82,32,35,67,27,-10,43,24,8,0,5,251,12.7,1690,20:36
29,Joffrey Lupul,28,TOR,C,66,25,42,67,25,1,48,17,8,0,3,191,13.1,1228,18:37
30,P.A. Parenteau,28,NYI,LW,80,18,49,67,23,-8,89,12,6,0,2,167,10.8,1492,18:39
31,Daniel Sedin,31,VAN,LW,72,30,37,67,26,14,40,20,10,0,6,229,13.1,1355,18:49
32,Tyler Seguin,20,BOS,C,81,29,38,67,26,34,30,24,5,0,7,242,12,1372,16:56
33,Valtteri Filppula,27,DET,C,81,23,43,66,24,18,14,19,3,1,1,144,16,1479,18:16
34,Patrick Kane,23,CHI,RW,82,23,43,66,24,7,40,19,4,0,5,253,9.1,1656,20:12
35,Brad Richards,31,NYR,C,82,25,41,66,24,-1,22,18,7,0,9,229,10.9,1662,20:16
36,Teemu Selanne,41,ANA,RW,82,26,40,66,25,-1,50,14,12,0,4,210,12.4,1466,17:53
37,Logan Couture,22,SJS,C,80,31,34,65,25,2,16,18,11,2,5,245,12.7,1485,18:34
38,Alex Ovechkin,26,WSH,LW,78,38,27,65,28,-8,26,25,13,0,3,303,12.5,1544,19:48
39,Max Pacioretty,23,MTL,LW,79,33,32,65,27,2,56,29,4,0,5,286,11.5,1443,18:16
40,Teddy Purcell,26,TBL,RW,81,24,41,65,24,9,16,16,8,0,3,152,15.8,1307,16:08
41,Patrice Bergeron,26,BOS,C,81,22,42,64,24,36,20,15,5,2,3,191,11.5,1505,18:35
42,Patrick Marleau,32,SJS,C,82,30,34,64,25,10,26,20,10,0,8,251,12,1679,20:29
43,Blake Wheeler,25,WPG,RW,80,17,47,64,22,3,55,11,6,0,3,208,8.2,1526,19:05
44,Jamie Benn,22,DAL,LW,71,26,37,63,23,15,55,23,2,1,7,203,12.8,1283,18:04
45,Mike Ribeiro,31,DAL,C,74,18,45,63,21,5,66,16,2,0,5,142,12.7,1484,20:03
46,David Krejci,25,BOS,C,79,23,39,62,23,-5,36,21,2,0,2,145,15.9,1455,18:25
47,Michael Ryder,31,DAL,RW,82,35,27,62,26,17,46,28,7,0,6,211,16.6,1425,17:23
48,Radim Vrbata,30,PHX,RW,77,35,27,62,26,24,24,25,9,1,12,232,15.1,1435,18:39
49,Erik Cole,33,MTL,LW,82,35,26,61,26,11,48,24,11,0,6,241,14.5,1519,18:32
50,Tomas Fleischmann,27,FLA,LW,82,27,34,61,24,-7,26,21,6,0,4,217,12.4,1566,19:06
51,Olli Jokinen,33,CGY,C,82,23,38,61,23,-12,54,14,9,0,5,223,10.3,1555,18:58
52,Chris Kunitz,32,PIT,LW,82,26,35,61,23,16,49,20,6,0,3,230,11.3,1502,18:19
53,Milan Lucic,23,BOS,LW,81,26,35,61,24,7,135,19,7,0,1,149,17.4,1379,17:02
54,Joe Pavelski,27,SJS,C,82,31,30,61,24,18,31,22,8,1,2,269,11.5,1690,20:37
55,Thomas Vanek,28,BUF,LW,78,26,35,61,23,-6,52,16,10,0,5,204,12.7,1321,16:56
56,David Desharnais,25,MTL,C,81,16,44,60,21,10,24,13,3,0,2,98,16.3,1490,18:24
57,Milan Michalek,27,OTT,RW,77,35,25,60,26,4,32,24,10,1,3,212,16.5,1506,19:33
58,Corey Perry,26,ANA,RW,80,37,23,60,26,-7,127,22,14,1,6,277,13.4,1710,21:23
59,Daniel Alfredsson,39,OTT,RW,75,27,32,59,23,16,18,17,7,3,4,191,14.1,1421,18:57
60,Pascal Dupuis,32,PIT,LW,82,25,34,59,23,18,34,22,0,3,8,214,11.7,1388,16:56
61,Rick Nash,27,CBJ,LW,82,30,29,59,24,-19,40,22,6,2,2,306,9.8,1565,19:05
62,Justin Williams,30,LAK,RW,82,22,37,59,22,10,44,13,9,0,2,241,9.1,1406,17:09
63,Martin Erat,30,NSH,LW,71,19,39,58,21,12,30,13,5,1,3,107,17.8,1312,18:29
64,Ryan Getzlaf,26,ANA,C,82,11,46,57,18,-11,75,7,4,0,4,185,5.9,1771,21:36
65,Evander Kane,20,WPG,C,74,30,27,57,23,11,53,24,6,0,4,287,10.5,1296,17:31
66,Bobby Ryan,24,ANA,RW,82,31,26,57,24,1,53,26,3,2,3,204,15.2,1505,18:21
67,Jonathan Toews,23,CHI,C,59,29,28,57,23,17,28,23,5,1,4,185,15.7,1230,20:51
68,Stephen Weiss,28,FLA,C,80,20,37,57,21,5,60,14,5,1,6,149,13.4,1641,20:31
69,Johan Franzen,32,DET,C,77,29,27,56,23,23,40,18,11,0,10,211,13.7,1363,17:42
70,Brad Marchand,23,BOS,C,76,28,27,55,23,31,87,22,5,1,3,167,16.8,1339,17:37
71,Ryan O'Reilly,20,COL,C,81,18,37,55,20,-1,12,14,4,0,3,189,9.5,1582,19:32
72,Vinny Prospal,36,CBJ,C,82,16,39,55,19,-11,36,13,3,0,0,165,9.7,1467,17:53
73,David Backes,27,STL,RW,82,24,30,54,21,15,101,14,8,2,4,234,10.3,1640,0.833333333
74,Dustin Brown,27,LAK,RW,82,22,32,54,20,18,53,12,9,1,6,214,10.3,1654,20:10
75,Ryan Callahan,26,NYR,RW,76,29,25,54,22,-8,61,15,13,1,9,235,12.3,1599,21:02
76,Jaromir Jagr,39,PHI,RW,73,19,35,54,20,5,30,11,8,0,2,170,11.2,1193,16:20
77,T.J. Oshie,25,STL,C,80,19,35,54,20,15,50,15,3,1,3,188,10.1,1562,19:32
78,Alexander Semin,27,WSH,LW,77,21,33,54,20,9,56,19,2,0,1,183,11.5,1293,16:47
79,Kris Versteeg,25,FLA,RW,71,23,31,54,21,4,49,14,8,1,5,181,12.7,1414,19:55
80,Dustin Byfuglien,26,WPG,D,66,12,41,53,17,-8,72,8,4,0,3,223,5.4,1592,24:07:00
81,Brian Campbell,32,FLA,D,82,4,49,53,15,-9,6,3,1,0,0,131,3.1,2206,26:54:00
82,Taylor Hall,20,EDM,LW,61,27,26,53,21,-3,36,14,13,0,7,207,13,1111,18:13
83,Dany Heatley,31,MIN,RW,82,24,29,53,21,2,28,16,8,0,3,238,10.1,1717,20:57
84,David Legwand,31,NSH,C,78,19,34,53,19,3,26,14,5,0,2,140,13.6,1445,18:31
85,Paul Stastny,26,COL,C,79,21,32,53,20,-8,34,14,7,0,2,190,11.1,1488,18:50
86,Alexandre Burrows,30,VAN,LW,80,28,24,52,21,24,90,23,3,2,7,198,14.1,1478,18:28
87,Zdeno Chara,34,BOS,D,79,12,40,52,18,33,86,4,8,0,0,224,5.4,1975,25:00:00
88,Gabriel Landeskog,19,COL,LW,82,22,30,52,20,20,51,16,6,0,5,270,8.1,1526,18:37
89,Ryan Nugent-Hopkins,18,EDM,C,62,18,34,52,19,-2,16,15,3,0,2,134,13.4,1092,17:36
90,Tomas Plekanec,29,MTL,C,81,17,35,52,19,-15,56,9,5,3,2,220,7.7,1681,20:45
91,Mike Fisher,31,NSH,C,72,24,27,51,20,11,33,19,5,0,7,157,15.3,1389,19:18
92,Mikhail Grabovski,28,TOR,C,74,23,28,51,20,0,51,18,5,0,2,163,14.1,1303,17:36
93,Adam Henrique,21,NJD,C,74,16,35,51,18,8,7,12,0,4,3,130,12.3,1344,18:10
94,Alex Pietrangelo,22,STL,D,81,12,39,51,17,16,36,6,6,0,6,202,5.9,2003,24:44:00
95,Derek Stepan,21,NYR,C,82,17,34,51,18,14,22,13,4,0,4,169,10.1,1554,18:57
96,Shane Doan,35,PHX,RW,79,22,28,50,19,-8,48,17,5,0,5,226,9.7,1548,19:36
97,Jiri Hudler,28,DET,C,81,25,25,50,20,10,42,23,2,0,2,127,19.7,1269,15:40
98,Andrew Ladd,26,WPG,LW,82,28,22,50,21,-8,64,24,4,0,6,265,10.6,1604,19:34
99,Jordan Staal,23,PIT,C,62,25,25,50,20,11,34,17,5,3,0,149,16.8,1243,20:03
100,Drew Stafford,26,BUF,RW,80,20,30,50,19,5,46,16,3,1,4,226,8.8,1412,17:39
101,Danny Briere,34,PHI,C,70,16,33,49,17,5,69,12,4,0,3,174,9.2,1215,17:22
102,Alexander Edler,25,VAN,D,82,11,38,49,16,0,34,5,5,1,0,228,4.8,1957,23:52
103,Ryan Kesler,27,VAN,C,77,22,27,49,19,11,56,13,8,1,1,222,9.9,1547,20:06
104,Vincent Lecavalier,31,TBL,C,64,22,27,49,19,-2,50,17,5,0,5,182,12.1,1212,18:56
105,Wayne Simmonds,23,PHI,RW,82,28,21,49,21,-1,114,17,11,0,4,197,14.2,1305,15:55
106,Alex Tanguay,32,CGY,LW,64,13,36,49,17,7,28,11,1,1,3,84,15.5,1219,19:03
107,Jakub Voracek,22,PHI,RW,78,18,31,49,18,11,32,18,0,0,2,190,9.5,1271,16:17
108,Shea Weber,26,NSH,D,78,19,30,49,18,21,46,7,10,2,1,230,8.3,2041,26:10:00
109,Dan Boyle,35,SJS,D,81,9,39,48,15,10,57,6,3,0,2,252,3.6,2072,1:35
110,Curtis Glencross,29,CGY,LW,67,26,22,48,20,-13,62,17,8,1,3,110,23.6,1208,18:01
111,Ryan Malone,32,TBL,LW,68,20,28,48,18,-11,82,14,5,1,2,144,13.9,1203,17:41
112,Steve Sullivan,37,PIT,C,79,17,31,48,17,-3,20,12,5,0,1,140,12.1,1213,15:22
113,Tyler Bozak,25,TOR,C,73,18,29,47,17,-7,22,14,4,0,1,109,16.5,1375,18:51
114,Nick Foligno,24,OTT,LW,82,15,32,47,17,2,124,14,1,0,3,153,9.8,1201,14:39
115,Sam Gagner,22,EDM,C,75,18,29,47,17,5,36,12,6,0,0,149,12.1,1289,17:11
116,Frans Nielsen,27,NYI,C,82,17,30,47,17,-3,6,12,5,0,1,133,12.8,1431,17:27
117,Matt Read,25,PHI,RW,79,24,23,47,19,13,12,18,4,2,6,155,15.5,1348,17:04
118,Mark Streit,34,NYI,D,82,7,40,47,14,-27,46,4,3,0,1,149,4.7,1917,23:23
119,Kyle Wellwood,28,WPG,C,77,18,29,47,17,3,4,14,4,0,1,93,19.4,1151,14:57
120,David Clarkson,27,NJD,RW,80,30,16,46,20,-8,138,22,8,0,7,228,13.2,1309,16:22
121,Marcus Johansson,21,WSH,C,80,14,32,46,16,-5,8,13,1,0,3,90,15.6,1344,16:48
122,Jussi Jokinen,28,CAR,LW,79,12,34,46,16,-2,54,7,3,2,3,118,10.2,1396,17:40
123,Bryan Little,24,WPG,C,74,24,22,46,19,-11,26,18,6,0,6,162,14.8,1496,20:13
124,Ryan Smyth,35,EDM,LW,82,19,27,46,17,-5,82,15,4,0,4,194,9.8,1565,19:05
125,Ryan Suter,27,NSH,D,79,7,39,46,14,15,30,3,3,1,1,134,5.2,2094,26:30:00
126,Dennis Wideman,28,WSH,D,82,11,35,46,16,-8,46,7,4,0,3,175,6.3,1960,23:54
127,Ryane Clowe,29,SJS,LW,76,17,28,45,16,-5,97,13,4,0,2,180,9.4,1358,17:52
128,Kyle Okposo,23,NYI,RW,79,24,21,45,18,-15,46,21,3,0,2,152,15.8,1348,17:04
129,Nicklas Backstrom,24,WSH,C,42,14,30,44,16,-4,24,11,3,0,4,95,14.7,805,19:10
130,Kevin Bieksa,30,VAN,D,78,8,36,44,14,12,94,6,2,0,2,166,4.8,1844,23:38
131,Kyle Brodziak,27,MIN,C,82,22,22,44,18,-15,66,17,5,0,0,160,13.8,1563,19:04
132,Mikko Koivu,28,MIN,C,55,12,32,44,15,10,28,9,2,1,2,129,9.3,1174,21:21
133,Dion Phaneuf,26,TOR,D,82,12,32,44,15,-10,92,5,7,0,1,202,5.9,2074,25:17:00
134,Mike Richards,26,LAK,C,74,18,26,44,17,3,71,11,3,4,1,171,10.5,1398,18:53
135,Derek Roy,28,BUF,C,80,17,27,44,16,-7,54,10,6,1,2,176,9.7,1546,19:19
136,Jeff Skinner,19,CAR,RW,64,20,24,44,18,-8,56,16,4,0,5,210,9.5,1192,18:37
137,Petr Sykora,35,NJD,RW,82,21,23,44,17,4,40,17,4,0,6,170,12.4,1304,15:54
138,Dainius Zubrus,33,NJD,RW,82,17,27,44,16,7,34,10,4,3,2,109,15.6,1532,18:41
139,Chris Higgins,28,VAN,C,71,18,25,43,16,11,16,16,1,1,4,165,10.9,1158,16:19
140,Patric Hornqvist,25,NSH,RW,76,27,16,43,19,9,28,19,8,0,3,230,11.7,1165,15:20
141,Sergei Kostitsyn,24,NSH,LW,75,17,26,43,16,8,34,15,1,1,3,97,17.5,1235,16:28
142,Clarke MacArthur,26,TOR,LW,73,20,23,43,17,3,37,17,3,0,4,148,13.5,1157,15:51
143,Kevin Shattenkirk,23,STL,D,81,9,34,43,14,20,60,4,5,0,2,178,5.1,1750,21:36
144,Viktor Stalberg,26,CHI,LW,79,22,21,43,17,6,34,22,0,0,6,215,10.2,1112,14:04
145,Kimmo Timonen,36,PHI,D,76,4,39,43,13,8,46,0,4,0,0,130,3.1,1614,21:14
146,Keith Yandle,25,PHX,D,82,11,32,43,14,5,51,11,0,0,2,196,5.6,1832,22:20
147,Kris Letang,24,PIT,D,51,10,32,42,14,21,34,5,4,1,3,142,7,1267,24:50:00
148,David Perron,23,STL,LW,57,21,21,42,17,19,28,15,5,1,4,114,18.4,1042,18:17
149,Rich Peverley,29,BOS,C,57,11,31,42,15,20,22,10,1,0,1,112,9.8,963,16:54
150,Derick Brassard,24,CBJ,C,74,14,27,41,15,-20,42,9,5,0,3,125,11.2,1209,16:20
151,Michael Cammalleri,29,TOT,C,66,20,21,41,17,-10,26,17,3,0,4,175,11.4,1195,18:07
152,Michael Del Zotto,21,NYR,D,77,10,31,41,14,20,36,8,1,1,2,113,8.8,1728,22:26
153,Steve Downie,24,TOT,RW,75,14,27,41,15,-6,137,12,2,0,2,140,10,1195,15:56
154,Cody Hodgson,21,TOT,C,83,19,22,41,16,1,10,12,7,0,3,154,12.3,1147,13:49
155,Brooks Laich,28,WSH,C,82,16,25,41,16,-8,34,10,5,1,5,191,8.4,1517,18:30
156,Duncan Keith,28,CHI,D,74,4,36,40,12,15,42,3,1,0,1,162,2.5,1990,26:54:00
157,R.J. Umberger,29,CBJ,C,77,20,20,40,16,-10,27,15,5,0,3,200,10,1401,18:11
158,Jason Chimera,32,WSH,LW,82,20,19,39,16,4,78,17,1,2,5,205,9.8,1184,14:26
159,Jannik Hansen,25,VAN,LW,82,16,23,39,15,18,34,15,0,1,1,137,11.7,1222,14:54
160,Chris Kelly,31,BOS,C,82,20,19,39,16,33,41,17,1,2,6,122,16.4,1208,14:44
161,Steve Ott,29,DAL,C,74,11,28,39,13,5,156,7,4,0,2,108,10.2,1357,18:21
162,Patrik Berglund,23,STL,C,82,19,19,38,15,4,30,17,0,2,3,188,10.1,1473,17:58
163,Todd Bertuzzi,36,DET,RW,71,14,24,38,14,23,64,14,0,0,1,118,11.9,1104,15:33
164,Matt Carle,27,PHI,D,82,4,34,38,11,4,36,1,3,0,0,132,3,1888,23:01
165,Matt Cooke,33,PIT,LW,82,19,19,38,15,5,44,16,1,2,4,147,12.9,1286,15:41
166,Carl Hagelin,23,NYR,LW,64,14,24,38,14,21,24,12,0,2,2,131,10.7,963,15:03
167,Jack Johnson,25,TOT,D,82,12,26,38,13,-7,39,7,5,0,5,176,6.8,1949,23:46
168,Saku Koivu,37,ANA,C,74,11,27,38,13,7,50,11,0,0,1,107,10.3,1341,18:08
169,Dave Bolland,25,CHI,C,76,19,18,37,15,0,47,9,7,3,2,126,15.1,1254,16:30
170,Brent Burns,26,SJS,D,81,11,26,37,13,8,34,6,5,0,2,201,5.5,1826,22:32
171,Sidney Crosby,24,PIT,C,22,8,29,37,12,15,14,6,2,0,3,75,10.7,406,18:28
172,Sergei Gonchar,37,OTT,D,74,5,32,37,11,-4,55,3,2,0,1,131,3.8,1647,22:15
173,Colin Greening,25,OTT,C,82,17,20,37,15,-4,46,13,4,0,0,184,9.2,1278,15:35
174,Dan Hamhuis,29,VAN,D,82,4,33,37,11,29,46,3,1,0,0,140,2.9,1921,23:26
175,Milan Hejduk,35,COL,RW,81,14,23,37,14,-12,14,8,6,0,1,170,8.2,1378,17:01
176,David Jones,27,COL,RW,72,20,17,37,15,-8,32,16,3,1,5,136,14.7,1134,15:45
177,Lauri Korpikoski,25,PHX,LW,82,17,20,37,14,3,14,14,0,3,3,146,11.6,1405,17:08
178,Nick Leddy,20,CHI,D,82,3,34,37,11,-12,10,3,0,0,0,94,3.2,1811,22:05
179,Jamie McGinn,23,TOT,LW,78,20,17,37,15,-3,37,14,6,0,2,159,12.6,1049,13:27
180,Antoine Vermette,29,TOT,C,82,11,26,37,13,-13,28,6,4,1,4,149,7.4,1411,17:12
181,Artem Anisimov,23,NYR,C,79,16,20,36,14,12,34,11,4,1,1,132,12.1,1217,15:24
182,Tim Connolly,30,TOR,C,70,13,23,36,13,-14,40,11,2,0,3,104,12.5,1190,17:00
183,Drew Doughty,22,LAK,D,77,10,26,36,12,-2,69,7,3,0,3,168,6,1917,24:54:00
184,Ales Hemsky,28,EDM,RW,69,10,26,36,12,-13,43,9,1,0,1,137,7.3,1214,17:36
185,Andrei Kostitsyn,26,TOT,LW,72,16,20,36,14,-1,26,11,5,0,5,122,13.1,1088,15:07
186,Niklas Kronwall,31,DET,D,82,15,21,36,14,-2,38,8,7,0,4,141,10.6,1875,22:52
187,Devin Setoguchi,25,MIN,RW,69,19,17,36,15,-17,28,12,7,0,2,174,10.9,1214,17:36
188,Craig Smith,22,NSH,C,72,14,22,36,13,-9,30,8,6,0,1,172,8.1,1022,14:11
189,P.K. Subban,22,MTL,D,81,7,29,36,12,9,119,2,5,0,0,205,3.4,1968,24:18:00
190,Jiri Tlusty,23,CAR,C,79,17,19,36,15,1,26,15,2,0,1,136,12.5,1178,14:54
191,Nik Antropov,31,WPG,C,69,15,20,35,13,0,42,11,4,0,0,95,15.8,1140,16:31
192,Matt Cullen,35,MIN,C,73,14,21,35,13,-10,24,10,4,0,0,164,8.5,1382,18:56
193,Colin Wilson,22,NSH,C,68,15,20,35,13,5,21,10,5,0,5,114,13.2,1097,16:08
194,Jason Arnott,37,STL,C,72,17,17,34,14,13,26,11,6,0,3,142,12,1014,14:05
195,Jeff Carter,27,TOT,C,55,21,13,34,15,-12,16,11,10,0,2,184,11.4,1055,19:11
196,Brandon Dubinsky,25,NYR,C,77,10,24,34,12,16,110,9,0,1,1,140,7.1,1253,16:16
197,Tyler Ennis,22,BUF,C,48,15,19,34,13,11,14,13,2,0,1,82,18.3,776,16:10
198,Martin Hanzal,24,PHX,C,64,8,26,34,11,12,63,5,3,0,2,145,5.5,1180,18:27
199,Shawn Horcoff,33,EDM,C,81,13,21,34,13,-23,24,8,5,0,0,123,10.6,1586,19:35
200,Nicklas Lidstrom,41,DET,D,70,11,23,34,12,21,28,7,4,0,0,148,7.4,1664,23:46
201,Tuomo Ruutu,28,CAR,C,72,18,16,34,15,-3,50,15,3,0,2,156,11.5,1185,16:28
202,Brent Seabrook,26,CHI,D,78,9,25,34,11,21,22,7,2,0,3,156,5.8,1929,24:43:00
203,Maxime Talbot,27,PHI,C,81,19,15,34,14,5,59,16,1,2,2,115,16.5,1296,0.666666667
204,Troy Brouwer,26,WSH,RW,82,18,15,33,14,-15,61,15,3,0,5,133,13.5,1408,17:11
205,Dan Cleary,33,DET,LW,75,12,21,33,12,2,30,10,2,0,0,199,6,1199,15:59
